"","None","A","AB","ABO","AD","AF","AK","ATY","B","BD","BDL","BDLT","BK","BL","BT","C","CD","CE","CH","CI","CK","CO","CU","D","DK","DKL","DKT","DL","DO","DP","DT","DTZ","DU","DUZ","DZ","E","EF","EG","EGP","EH","EIJ","EIOV","EJ","EO","EU","F","FH","FP","FQ","G","GM","GMO","GO","GQ","GT","H","HK","I","IJT","IKOT","IKT","IM","IMO","IN","IQ","IT","IU","J","JK","JT","JUY","K","KL","KOT","KU","L","LT","M","MO","MOT","MOU","MU","MW","O","OP","OPU","OT","OTU","OU","P","PQ","PT","Q","S","T","TU","TUZ","TZ","U","UY","UZ","V","W","Y","Z","EI","EQ","JU","N","AJ","KO","IO","JO","KLT","CG","LO"
"DebaryomycesHansenii",380,236,1,1,1,1,1,1,60,6,2,4,14,2,1,182,1,1,6,2,1,3,3,75,2,3,5,4,10,2,7,2,1,5,6,233,4,8,3,4,1,1,4,3,1,60,4,1,1,216,7,1,1,3,3,94,1,133,2,1,2,1,1,1,1,3,2,280,1,1,1,275,10,1,1,157,2,27,3,3,1,1,1,313,3,2,6,1,5,134,10,4,126,1057,176,7,1,12,303,21,2,27,3,2,70,0,0,0,0,0,0,0,0,0,0,0
"LachanceaFermentati",27,207,0,0,2,0,1,1,52,4,2,2,9,2,1,163,0,1,4,1,0,2,2,60,1,1,2,1,9,1,4,1,0,2,6,176,1,4,0,8,1,1,1,0,1,57,8,2,0,130,3,0,1,0,1,75,0,100,3,1,1,0,2,0,0,2,1,261,1,0,1,291,2,1,1,131,0,21,3,2,0,0,0,239,2,0,4,1,3,111,7,1,65,744,128,5,0,12,330,16,1,19,4,1,57,1,1,1,1,0,0,0,0,0,0,0
"LachanceaThermotolerans",60,285,0,1,2,1,1,1,68,5,3,2,10,2,1,199,0,1,3,2,0,5,2,79,2,1,5,2,11,2,6,1,1,3,7,215,3,5,0,8,1,0,2,1,0,71,4,2,1,173,4,0,2,0,2,107,1,114,1,1,2,1,1,1,1,3,1,347,1,0,1,390,5,1,1,183,0,24,4,2,0,0,1,316,3,0,6,1,3,130,8,2,76,1007,172,8,1,12,458,25,1,23,3,2,82,1,0,2,1,1,2,0,0,0,0,0
"MeyerozymaGuilliermondii",332,243,1,1,1,1,1,1,57,7,2,3,16,2,1,193,1,3,5,2,2,3,3,72,2,2,6,4,10,3,6,2,2,5,10,254,4,8,4,6,1,2,3,3,1,64,4,2,1,216,4,0,3,1,3,95,1,148,3,1,2,1,1,1,1,5,1,321,1,1,1,292,12,2,1,162,1,29,4,3,1,2,1,347,3,2,6,1,4,143,7,3,132,1153,200,6,1,14,351,25,2,36,4,4,67,2,1,1,0,1,0,1,1,1,0,0
"NakazawaeaHolstii",53,211,0,1,3,1,1,1,41,7,1,2,13,1,1,210,1,2,4,3,1,4,2,60,3,1,5,2,10,2,5,1,1,5,5,275,4,12,5,9,1,1,3,3,1,67,7,3,1,220,5,0,4,1,5,106,1,141,5,0,3,1,1,1,4,3,2,328,1,0,1,227,6,1,1,133,1,26,1,3,1,1,0,313,4,1,3,2,3,131,4,4,144,777,185,5,1,10,299,17,2,27,4,3,57,2,2,1,0,1,0,1,0,0,1,0
"NakazawaeaPopuli",50,205,1,1,2,1,1,1,47,7,0,2,12,1,1,198,1,2,3,3,1,5,2,53,3,1,7,2,9,2,6,1,1,5,5,251,4,11,3,6,1,1,3,3,1,70,8,6,1,215,4,0,2,1,4,101,1,134,6,1,3,1,1,1,1,3,0,322,1,0,1,224,6,1,1,126,1,27,3,3,1,1,0,297,4,1,3,2,2,136,6,4,123,723,171,4,1,12,293,16,1,25,4,3,56,2,3,1,0,1,0,1,0,1,1,0
"SaccharomycesBayanus",14,253,0,1,2,3,1,1,53,3,2,2,7,2,0,184,0,0,3,1,0,3,1,82,2,1,2,1,10,3,5,1,2,5,7,157,4,4,0,10,0,1,4,1,1,72,5,2,2,161,3,0,2,0,3,92,3,110,1,1,3,0,0,1,0,6,0,315,1,1,1,364,5,1,1,175,0,23,3,1,0,0,0,292,3,0,7,1,3,129,7,0,79,818,171,10,2,9,401,26,1,19,2,1,77,1,0,0,0,1,1,0,0,0,0,0
"SaccharomycesParadoxus",21,270,0,1,1,3,1,1,60,5,3,6,9,3,0,193,0,1,3,0,0,3,2,86,2,1,5,2,10,2,5,0,1,5,7,183,3,6,0,11,2,1,4,1,1,79,8,2,1,164,4,0,3,0,3,110,1,105,1,0,1,0,1,1,1,4,1,362,1,1,1,422,6,1,1,199,0,22,3,2,0,0,1,323,3,0,8,1,1,134,9,1,76,946,187,10,2,14,470,25,1,21,3,1,82,1,0,1,1,1,2,0,0,0,0,0
"SungouiellaAkabanensis",170,236,1,1,2,1,1,1,49,7,1,2,16,1,1,188,0,2,7,2,2,3,3,66,3,2,6,4,8,2,6,2,2,5,7,279,5,9,2,6,1,1,4,3,0,67,6,2,3,219,3,1,2,1,3,98,1,150,7,1,2,1,1,1,2,4,1,333,1,1,1,266,10,1,1,130,1,29,3,2,1,2,1,331,3,2,5,2,5,142,8,3,127,984,193,7,1,13,329,20,2,30,2,4,60,2,1,1,0,1,0,1,1,0,0,1
"WickerhamomycesAnomalus",106,258,0,3,0,1,1,1,43,7,1,5,15,1,1,226,0,3,5,3,1,5,3,79,2,1,6,4,13,3,7,1,2,5,10,284,3,9,6,6,1,1,1,3,1,72,8,3,0,276,7,0,4,0,3,135,1,156,11,0,3,1,1,1,4,3,1,351,1,1,1,304,9,1,0,179,1,31,4,2,1,2,1,362,2,1,11,3,1,165,13,5,163,1087,201,8,1,15,382,32,2,32,3,5,78,1,2,2,1,1,0,1,0,1,1,0
"ZygosaccharomycesPseudorouxii",18,145,0,1,1,0,0,0,41,9,2,0,6,1,0,103,0,1,2,3,0,3,0,48,2,0,3,1,11,1,4,0,1,3,4,109,1,2,0,2,3,1,1,1,0,45,4,0,0,77,1,0,0,0,1,64,0,59,1,0,1,0,1,1,1,0,0,178,0,0,0,198,2,1,1,114,0,17,1,1,0,0,0,167,3,0,1,0,1,62,5,0,46,516,80,7,1,9,221,12,0,11,2,1,44,0,0,1,0,1,0,0,0,0,0,0
"Sum",1231,2549,4,12,17,13,10,10,571,67,19,30,127,18,8,2039,4,17,45,22,8,39,23,760,24,14,52,27,111,23,61,12,14,48,74,2416,36,78,23,76,13,11,30,22,8,724,66,25,11,2067,45,2,24,7,31,1077,11,1350,41,7,23,7,11,10,16,36,10,3398,10,6,10,3253,73,12,10,1689,7,276,32,24,6,9,6,3300,33,9,60,15,31,1417,84,27,1157,9812,1864,77,12,132,3837,235,15,270,34,27,730,13,10,11,4,9,5,5,2,3,3,1
